"idPedido","lonCarga","latCarga","lonDescarga","latDescarga","categoria","prioridad","replanificacion","camiones","replan_time","replan_time_limit","idCamion"
"2114AR087-003",-9.02718,42.66939,-9.02735,42.66966,M3,0,8,,2022-08-05 08:00:00.000,,
"2114AR098-001",-9.02918,42.66878,-8.43816,42.60394,M3,0,27,,2022-08-14 14:00:00.000,,
"2115AR095-001",-8.61853,42.43467,-8.61717,42.43532,M3,0,0,,2022-08-01 08:00:00.000,,
"2117AR023-002",-8.65627,42.05027,-8.65501,42.04983,M3,0,20,,2022-08-11 08:00:00.000,,
"2117AR023-004",-8.65454,42.05117,-8.28638,42.14665,M3,0,9,,2022-08-05 14:00:00.000,,
"2117AR048-002",-8.28644,42.14677,-8.29574,42.13819,M3,0,18,,2022-08-10 08:00:00.000,,
"2117AR049-003",-8.41669,42.22168,-8.41643,42.22148,M3,0,38,,2022-08-20 08:00:00.000,,
"2117AR049-002",-8.41492,42.22122,-8.29571,42.13764,M3,0,36,,2022-08-19 08:00:00.000,,
"2117AR049-007",-8.50061,42.25535,-8.57895,42.09998,M3,0,30,,2022-08-16 08:00:00.000,,
"2117AR084-001",-8.73606,42.15301,-8.73666,42.15404,M3,0,19,,2022-08-10 14:00:00.000,,
"2117AR136-001",-8.56054,42.08261,-8.34596,42.09962,M3,0,13,,2022-08-07 14:00:00.000,,
"2117AR134-003",-8.34427,42.10094,-8.55995,42.08258,M3,0,11,,2022-08-06 14:00:00.000,,
"2107AR099-001",-7.56141,43.62877,-7.1833,43.18091,M2,0,27,,2022-08-14 14:00:00.000,,
"2121AR064-005",-7.43987,43.31522,-7.10031,43.29201,M3,0,2,,2022-08-02 08:00:00.000,,
"2006AR083-001",-7.2976,43.46056,-8.73825,42.44491,M1,0,29,,2022-08-15 14:00:00.000,,
"2215AR064-018",-8.73418,42.45385,-8.73381,42.44371,M1,0,8,,2022-08-05 08:00:00.000,,
"1705AR118-001",-7.10522,43.43752,-8.44985,42.37029,M2,0,0,,2022-08-01 08:00:00.000,,
"2215AR069-002",-8.69849,42.60581,-8.41363,42.54624,M1,0,19,,2022-08-10 14:00:00.000,,
"2121AR075-001",-7.1655,43.2354,-7.11667,43.46503,M3,0,29,,2022-08-15 14:00:00.000,,
"2216AR025-002",-8.44928,42.37114,-7.52553,43.66937,M2,0,13,,2022-08-07 14:00:00.000,,
"2207AR053-001",-7.49335,43.69335,-7.50091,43.70512,M2,0,39,,2022-08-20 14:00:00.000,,
"2205AR008-019",-7.21676,43.4171,-7.31311,43.49867,M2,0,38,,2022-08-20 08:00:00.000,,
"2121AR004-002",-7.17732,43.18372,-6.03131,43.49967,M2,0,38,,2022-08-20 08:00:00.000,,
"2205AR008-022",-7.22247,43.4171,-8.89475,43.09624,M2,0,40,,2022-08-21 08:00:00.000,,
"2206AR003-001",-7.30169,43.50006,-8.6805,43.13393,M3,0,2,,2022-08-02 08:00:00.000,,
"2012AR080-009",-8.8914,43.09385,-8.69801,43.13748,M3,0,39,,2022-08-20 14:00:00.000,,
"2012AR080-007",-8.89087,43.09303,-7.0832,43.41821,M2,0,22,,2022-08-12 08:00:00.000,,
"2104AR008-001",-7.1617,43.41733,-8.9677,43.07844,M2,0,1,,2022-08-01 14:00:00.000,,
"2105AR044-001",-7.21965,43.31108,-7.51084,43.69181,M3,0,39,,2022-08-20 14:00:00.000,,
"2207AR053-005",-7.48931,43.6977,-7.27446,43.50577,M2,0,5,,2022-08-03 14:00:00.000,,
"1905AR196-001",-7.23786,43.51764,-7.27318,43.5055,M2,0,44,,2022-08-23 08:00:00.000,,
"2207AR056-006",-7.47935,43.6752,-7.47961,43.67423,M2,0,19,,2022-08-10 14:00:00.000,,
"2003AR085-011",-6.03749,43.48245,-7.16735,43.40746,M2,0,18,,2022-08-10 08:00:00.000,,
"2121AR064-011",-7.43196,43.29422,-8.68076,43.13443,M3,0,46,,2022-08-24 08:00:00.000,,
"2207AR071-002",-7.48293,43.66004,-7.55686,43.58664,M1,0,17,,2022-08-09 14:00:00.000,,
"2111AR130-003",-8.68143,43.13395,-7.84577,43.47436,M3,0,14,,2022-08-08 08:00:00.000,,
